name,native_name,iso_639
Hungarian,magyar,hu
Swedish,svenska,sv
Icelandic,íslenska,is
Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu
English,English,en
Slovak,slovenčina,sk
Serbian,српски,sr
Arabic,العربية,ar
Turkish,Türkçe,tr
French,français,fr
Portuguese,português,pt
Hebrew,עברית,he
German,Deutsch,de
Azerbaijani,azərbaycan,az
Russian,русский,ru
Norwegian,norsk,no
Ukrainian,українська,uk
Faroese,føroyskt,fo
Romanian,română,ro
Uzbek,o‘zbek,uz
Maori,Māori,mi
Estonian,eesti,et
Finnish,suomi,fi
Dutch,Nederlands,nl
Lithuanian,lietuvių,lt
Italian,italiano,it
Bulgarian,български,bg
Belarusian,беларуская,be
Pushto,پښتو,ps
Spanish,español,es
Armenian,հայերեն,hy
Modern Greek (1453-),Ελληνικά,el
Thai,ไทย,th
Panjabi,ਪੰਜਾਬੀ,pa
Macedonian,македонски,mk
Latvian,latviešu,lv
Slovenian,slovenščina,sl
Hindi,हिन्दी,hi
Irish,Gaeilge,ga
Persian,فارسی,fa
Gujarati,ગુજરાતી,gu
Danish,dansk,da
Czech,čeština,cs
Northern Sami,davvisámegiella,se
Nepali (macrolanguage),नेपाली,ne
Cherokee,ᏣᎳᎩ,chr
Polish,polski,pl
Vietnamese,Tiếng Việt,vi
Croatian,hrvatski,hr
Welsh,Cymraeg,cy
Hawaiian,ʻŌlelo Hawaiʻi,haw
